sample_unit_id,grts,BroadHabitat_Class,BroadHabitat_Form
64873,614,Desert & Semi-Desert,Warm Desert & Semi-Desert Scrub & Grassland
108393,625,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
94488,634,Forest & Woodland,Cool Temperate Forest & Woodland
97787,650,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
106511,657,Forest & Woodland,Warm Temperate Forest & Woodland
125985,673,Forest & Woodland,Cool Temperate Forest & Woodland
89368,682,Forest & Woodland,Warm Temperate Forest & Woodland
115828,689,Agricultural & Developed Vegetation,Row & Close Grain Crop Cultural Formation
71784,694,Shrub & Herb Vegetation,Mediterranean Scrub & Grassland
128752,705,Agricultural & Developed Vegetation,Pasture & Hay Field Crop
111207,721,Forest & Woodland,Cool Temperate Forest & Woodland
44967,726,0,0
101451,730,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
75016,746,Forest & Woodland,Cool Temperate Forest & Woodland
64400,758,Desert & Semi-Desert,Warm Desert & Semi-Desert Scrub & Grassland
94532,778,Introduced & Semi Natural Vegetation,Introduced & Semi Natural Vegetation
58396,806,Desert & Semi-Desert,Warm Desert & Semi-Desert Scrub & Grassland
80592,810,Forest & Woodland,Cool Temperate Forest & Woodland
115350,817,Agricultural & Developed Vegetation,Row & Close Grain Crop Cultural Formation
56524,822,Shrub & Herb Vegetation,Mediterranean Scrub & Grassland
97256,826,Forest & Woodland,Cool Temperate Forest & Woodland
98714,842,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
107925,849,Forest & Woodland,Cool Temperate Forest & Woodland
118584,865,Recently Disturbed or Modified,Recently Disturbed or Modified
73642,874,Shrub & Herb Vegetation,Mediterranean Scrub & Grassland
104246,881,Agricultural & Developed Vegetation,Row & Close Grain Crop Cultural Formation
50043,886,Open Water,Open Water
104665,913,Forest & Woodland,Cool Temperate Forest & Woodland
99617,922,Shrub & Herb Vegetation,Salt Marsh
94458,938,Forest & Woodland,Cool Temperate Forest & Woodland
72258,950,Forest & Woodland,Warm Temperate Forest & Woodland
116699,961,Forest & Woodland,Cool Temperate Forest & Woodland
115375,977,Forest & Woodland,Cool Temperate Forest & Woodland
50521,982,Desert & Semi-Desert,Warm Desert & Semi-Desert Scrub & Grassland
77335,1002,Forest & Woodland,Warm Temperate Forest & Woodland
119485,1041,Open Water,Open Water
102870,1057,Forest & Woodland,Cool Temperate Forest & Woodland
44975,1062,Desert & Semi-Desert,Warm Desert & Semi-Desert Scrub & Grassland
89390,1082,Recently Disturbed or Modified,Recently Disturbed or Modified
94078,1098,Agricultural & Developed Vegetation,Row & Close Grain Crop Cultural Formation
128278,1105,Recently Disturbed or Modified,Recently Disturbed or Modified
126466,1121,Forest & Woodland,Cool Temperate Forest & Woodland
51448,1126,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
80116,1130,Agricultural & Developed Vegetation,Row & Close Grain Crop Cultural Formation
114412,1137,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
95875,1146,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
95946,1162,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
113472,1169,Recently Disturbed or Modified,Recently Disturbed or Modified
119042,1185,Agricultural & Developed Vegetation,Pasture & Hay Field Crop
96777,1194,Forest & Woodland,Cool Temperate Forest & Woodland
109335,1201,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
66254,1206,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
95455,1242,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
80111,1258,Developed & Other Human Use,Developed & Urban
61145,1270,Agricultural & Developed Vegetation,Row & Close Grain Crop Cultural Formation
132456,1281,Open Water,Open Water
117643,1297,Forest & Woodland,Cool Temperate Forest & Woodland
100586,1298,Forest & Woodland,Cool Temperate Forest & Woodland
58365,1334,Shrub & Herb Vegetation,Mediterranean Scrub & Grassland
92159,1338,Forest & Woodland,Warm Temperate Forest & Woodland
114854,1361,Agricultural & Developed Vegetation,Row & Close Grain Crop Cultural Formation
118131,1377,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
61174,1382,Desert & Semi-Desert,Warm Desert & Semi-Desert Scrub & Grassland
105159,1393,Forest & Woodland,Cool Temperate Forest & Woodland
101482,1418,Forest & Woodland,Cool Temperate Forest & Woodland
110232,1425,Forest & Woodland,Cool Temperate Forest & Woodland
128765,1441,Forest & Woodland,Cool Temperate Forest & Woodland
68574,1446,Desert & Semi-Desert,Warm Desert & Semi-Desert Scrub & Grassland
111657,1457,Shrub & Herb Vegetation,Temperate Grassland & Shrubland
72725,1462,Forest & Woodland,Cool Temperate Forest & Woodland
126901,1473,Open Water,Open Water
126481,1505,Open Water,Open Water
87060,1514,Shrub & Herb Vegetation,Mediterranean Scrub & Grassland
62543,1526,Forest & Woodland,Warm Temperate Forest & Woodland
66686,1546,Forest & Woodland,Cool Temperate Forest & Woodland
120885,1553,Developed & Other Human Use,Developed & Urban
106122,1569,Forest & Woodland,Cool Temperate Forest & Woodland
54239,1574,Desert & Semi-Desert,Warm Desert & Semi-Desert Scrub & Grassland
75965,1578,Forest & Woodland,Temperate Flooded & Swamp Forest
121390,1585,Shrub & Herb Vegetation,Temperate Grassland & Shrubland
55603,1590,Desert & Semi-Desert,Warm Desert & Semi-Desert Scrub & Grassland
94932,1594,Forest & Woodland,Cool Temperate Forest & Woodland
91319,1610,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
102370,1617,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
117681,1633,Forest & Woodland,Cool Temperate Forest & Woodland
61166,1638,Desert & Semi-Desert,Warm Desert & Semi-Desert Scrub & Grassland
77346,1642,Forest & Woodland,Warm Temperate Forest & Woodland
106544,1649,Recently Disturbed or Modified,Recently Disturbed or Modified
108373,1681,Forest & Woodland,Cool Temperate Forest & Woodland
123670,1697,Forest & Woodland,Cool Temperate Forest & Woodland
88910,1706,Shrub & Herb Vegetation,Mediterranean Scrub & Grassland
70398,1718,Agricultural & Developed Vegetation,Row & Close Grain Crop Cultural Formation
126904,1729,Forest & Woodland,Cool Temperate Forest & Woodland
112128,1745,Forest & Woodland,Cool Temperate Forest & Woodland
46812,1750,Shrub & Herb Vegetation,Mediterranean Scrub & Grassland
100990,1754,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
126024,1761,Forest & Woodland,Cool Temperate Forest & Woodland
79644,1770,Forest & Woodland,Warm Temperate Forest & Woodland
60686,1782,Shrub & Herb Vegetation,Mediterranean Scrub & Grassland
129250,1825,Forest & Woodland,Cool Temperate Forest & Woodland
55153,1830,Desert & Semi-Desert,Warm Desert & Semi-Desert Scrub & Grassland
82441,1834,Forest & Woodland,Warm Temperate Forest & Woodland
115343,1841,Open Water,Open Water
52825,1846,Developed & Other Human Use,Developed & Urban
95408,1850,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
98724,1866,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
106063,1873,Forest & Woodland,Cool Temperate Forest & Woodland
116271,1889,Agricultural & Developed Vegetation,Row & Close Grain Crop Cultural Formation
79190,1898,Open Water,Open Water
101926,1905,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
47268,1910,Developed & Other Human Use,Developed & Urban
104662,1937,Forest & Woodland,Cool Temperate Forest & Woodland
101011,1946,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
92143,1962,Forest & Woodland,Cool Temperate Forest & Woodland
70406,1974,Shrub & Herb Vegetation,Mediterranean Scrub & Grassland
123185,1985,Shrub & Herb Vegetation,Salt Marsh
114918,2001,Forest & Woodland,Cool Temperate Forest & Woodland
65299,2038,Shrub & Herb Vegetation,Mediterranean Scrub & Grassland
118555,2065,Forest & Woodland,Cool Temperate Forest & Woodland
101941,2081,Forest & Woodland,Cool Temperate Forest & Woodland
88921,2106,Forest & Woodland,Cool Temperate Forest & Woodland
92224,2122,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
112536,2129,Agricultural & Developed Vegetation,Row & Close Grain Crop Cultural Formation
126470,2145,Forest & Woodland,Cool Temperate Forest & Woodland
55146,2150,Desert & Semi-Desert,Warm Desert & Semi-Desert Scrub & Grassland
103304,2161,Agricultural & Developed Vegetation,Pasture & Hay Field Crop
98199,2170,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
101488,2186,Forest & Woodland,Cool Temperate Forest & Woodland
113478,2193,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
120891,2209,Forest & Woodland,Cool Temperate Forest & Woodland
100487,2218,Forest & Woodland,Warm Temperate Forest & Woodland
110726,2225,Recently Disturbed or Modified,Recently Disturbed or Modified
67640,2230,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
103723,2241,Forest & Woodland,Cool Temperate Forest & Woodland
98689,2266,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
81502,2282,Forest & Woodland,Warm Temperate Forest & Woodland
62067,2294,Introduced & Semi Natural Vegetation,Introduced & Semi Natural Vegetation
69922,2314,Open Water,Open Water
121344,2321,Recently Disturbed or Modified,Recently Disturbed or Modified
77358,2346,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
56052,2358,Shrub & Herb Vegetation,Mediterranean Scrub & Grassland
93083,2362,Forest & Woodland,Warm Temperate Forest & Woodland
90852,2378,Agricultural & Developed Vegetation,Row & Close Grain Crop Cultural Formation
110678,2385,Developed & Other Human Use,Developed & Urban
116280,2401,Agricultural & Developed Vegetation,Row & Close Grain Crop Cultural Formation
63025,2406,Desert & Semi-Desert,Warm Desert & Semi-Desert Scrub & Grassland
106550,2417,Forest & Woodland,Cool Temperate Forest & Woodland
96847,2442,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
110698,2449,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
128774,2465,Forest & Woodland,Cool Temperate Forest & Woodland
110266,2481,Forest & Woodland,Cool Temperate Forest & Woodland
69010,2486,Agricultural & Developed Vegetation,Row & Close Grain Crop Cultural Formation
127372,2497,Forest & Woodland,Cool Temperate Forest & Woodland
50067,2518,Desert & Semi-Desert,Warm Desert & Semi-Desert Scrub & Grassland
95901,2522,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
85665,2538,Shrub & Herb Vegetation,Mediterranean Scrub & Grassland
65323,2550,Forest & Woodland,Cool Temperate Forest & Woodland
95489,2578,Forest & Woodland,Temperate Flooded & Swamp Forest
108901,2593,Forest & Woodland,Cool Temperate Forest & Woodland
84755,2602,Forest & Woodland,Cool Temperate Forest & Woodland
112565,2609,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
57916,2614,Desert & Semi-Desert,Warm Desert & Semi-Desert Scrub & Grassland
98636,2618,Forest & Woodland,Cool Temperate Forest & Woodland
92703,2634,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
102366,2641,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
122763,2657,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
62096,2662,Desert & Semi-Desert,Warm Desert & Semi-Desert Scrub & Grassland
79663,2666,Forest & Woodland,Cool Temperate Forest & Woodland
106100,2673,Shrub & Herb Vegetation,Temperate Grassland & Shrubland
50971,2678,Shrub & Herb Vegetation,Mediterranean Scrub & Grassland
107441,2705,Forest & Woodland,Cool Temperate Forest & Woodland
123682,2721,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
88437,2730,Forest & Woodland,Cool Temperate Forest & Woodland
66702,2742,Agricultural & Developed Vegetation,Row & Close Grain Crop Cultural Formation
124594,2753,Forest & Woodland,Cool Temperate Forest & Woodland
113519,2769,Forest & Woodland,Cool Temperate Forest & Woodland
46353,2774,Desert & Semi-Desert,Warm Desert & Semi-Desert Scrub & Grassland
99605,2778,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
61153,2806,Shrub & Herb Vegetation,Mediterranean Scrub & Grassland
125503,2833,Recently Disturbed or Modified,Recently Disturbed or Modified
129255,2849,0,0
52841,2854,Desert & Semi-Desert,Warm Desert & Semi-Desert Scrub & Grassland
84749,2858,Agricultural & Developed Vegetation,Row & Close Grain Crop Cultural Formation
111635,2865,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
52828,2870,Developed & Other Human Use,Developed & Urban
100041,2874,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
100112,2890,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
108839,2897,"Polar & High Montane Scrub, Grassland & Barrens",Temperate & Boreal Alpine Tundra
119974,2913,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
75493,2922,Shrub & Herb Vegetation,Mediterranean Scrub & Grassland
107020,2929,Shrub & Herb Vegetation,Temperate Grassland & Shrubland
105579,2945,Forest & Woodland,Cool Temperate Forest & Woodland
101877,2961,Forest & Woodland,Cool Temperate Forest & Woodland
95445,2970,Forest & Woodland,Cool Temperate Forest & Woodland
93537,2986,Forest & Woodland,Cool Temperate Forest & Woodland
63912,2998,Shrub & Herb Vegetation,Mediterranean Scrub & Grassland
120874,3009,Recently Disturbed or Modified,Recently Disturbed or Modified
108425,3025,Recently Disturbed or Modified,Recently Disturbed or Modified
133385,3073,Shrub & Herb Vegetation,"Temperate to Polar Freshwater Marsh, Wet Meadow & Shrubland"
118099,3089,Shrub & Herb Vegetation,"Temperate to Polar Freshwater Marsh, Wet Meadow & Shrubland"
102877,3105,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
92168,3130,Recently Disturbed or Modified,Recently Disturbed or Modified
112077,3153,Forest & Woodland,Cool Temperate Forest & Woodland
125552,3169,Forest & Woodland,Cool Temperate Forest & Woodland
56999,3174,Desert & Semi-Desert,Warm Desert & Semi-Desert Scrub & Grassland
103298,3185,Shrub & Herb Vegetation,Salt Marsh
50499,3190,Open Water,Open Water
99172,3210,Forest & Woodland,Temperate Flooded & Swamp Forest
114408,3217,Agricultural & Developed Vegetation,Row & Close Grain Crop Cultural Formation
123209,3233,Forest & Woodland,Cool Temperate Forest & Woodland
98632,3242,Forest & Woodland,Cool Temperate Forest & Woodland
114895,3249,Forest & Woodland,Cool Temperate Forest & Woodland
70423,3254,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
104189,3265,Shrub & Herb Vegetation,"Temperate to Polar Freshwater Marsh, Wet Meadow & Shrubland"
114456,3281,Forest & Woodland,Cool Temperate Forest & Woodland
99612,3290,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
85194,3306,0,0
60676,3318,Forest & Woodland,Cool Temperate Forest & Woodland
72702,3338,Open Water,Open Water
123197,3345,Recently Disturbed or Modified,Recently Disturbed or Modified
102420,3361,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
78281,3370,Forest & Woodland,Cool Temperate Forest & Woodland
117222,3377,Forest & Woodland,Cool Temperate Forest & Woodland
57436,3382,Open Water,Open Water
100498,3386,Open Water,Open Water
91776,3402,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
112067,3409,Recently Disturbed or Modified,Recently Disturbed or Modified
120921,3425,Developed & Other Human Use,Developed & Urban
106083,3441,Forest & Woodland,Cool Temperate Forest & Woodland
92174,3450,Forest & Woodland,Cool Temperate Forest & Woodland
95470,3466,Introduced & Semi Natural Vegetation,Introduced & Semi Natural Vegetation
111625,3473,Forest & Woodland,Cool Temperate Forest & Woodland
130166,3489,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
113509,3505,Forest & Woodland,Cool Temperate Forest & Woodland
67155,3510,Shrub & Herb Vegetation,Mediterranean Scrub & Grassland
127360,3521,Forest & Woodland,Cool Temperate Forest & Woodland
109357,3537,Shrub & Herb Vegetation,Temperate Grassland & Shrubland
45434,3542,Desert & Semi-Desert,Warm Desert & Semi-Desert Scrub & Grassland
99599,3546,Forest & Woodland,Cool Temperate Forest & Woodland
73627,3562,Forest & Woodland,Cool Temperate Forest & Woodland
63473,3574,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
92221,3594,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
97808,3602,Forest & Woodland,Cool Temperate Forest & Woodland
87071,3626,Forest & Woodland,Cool Temperate Forest & Woodland
110256,3633,Forest & Woodland,Cool Temperate Forest & Woodland
58377,3638,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
101421,3642,Forest & Woodland,Warm Temperate Forest & Woodland
100103,3658,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
107000,3665,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
120911,3681,Agricultural & Developed Vegetation,Row & Close Grain Crop Cultural Formation
76427,3690,"Polar & High Montane Scrub, Grassland & Barrens",Temperate & Boreal Alpine Tundra
106566,3697,Forest & Woodland,Cool Temperate Forest & Woodland
102353,3729,Shrub & Herb Vegetation,"Temperate to Polar Freshwater Marsh, Wet Meadow & Shrubland"
125993,3745,Recently Disturbed or Modified,Recently Disturbed or Modified
69016,3766,Agricultural & Developed Vegetation,Row & Close Grain Crop Cultural Formation
115830,3793,Forest & Woodland,Cool Temperate Forest & Woodland
49590,3798,Shrub & Herb Vegetation,Mediterranean Scrub & Grassland
78256,3818,Developed & Other Human Use,Developed & Urban
59306,3830,Desert & Semi-Desert,Warm Desert & Semi-Desert Scrub & Grassland
124109,3857,Recently Disturbed or Modified,Recently Disturbed or Modified
129248,3873,Forest & Woodland,Cool Temperate Forest & Woodland
54233,3878,Desert & Semi-Desert,Warm Desert & Semi-Desert Scrub & Grassland
86138,3882,Agricultural & Developed Vegetation,Row & Close Grain Crop Cultural Formation
109786,3889,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
51896,3894,Forest & Woodland,Temperate Flooded & Swamp Forest
99117,3898,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
95473,3914,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
102361,3921,Developed & Other Human Use,Developed & Urban
122291,3937,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
73177,3946,Agricultural & Developed Vegetation,Pasture & Hay Field Crop
106558,3953,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
66246,3958,Forest & Woodland,Temperate Flooded & Swamp Forest
107432,3969,Forest & Woodland,Cool Temperate Forest & Woodland
97298,3994,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
91688,4010,Forest & Woodland,Warm Temperate Forest & Woodland
65306,4022,Shrub & Herb Vegetation,Mediterranean Scrub & Grassland
122255,4033,0,0
105658,4049,Forest & Woodland,Cool Temperate Forest & Woodland
88454,4074,Forest & Woodland,Warm Temperate Forest & Woodland
108434,4129,Shrub & Herb Vegetation,Temperate Grassland & Shrubland
94526,4138,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
89839,4154,Forest & Woodland,Warm Temperate Forest & Woodland
130595,4177,Recently Disturbed or Modified,Recently Disturbed or Modified
123688,4193,Agricultural & Developed Vegetation,Row & Close Grain Crop Cultural Formation
54222,4198,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
82898,4202,Introduced & Semi Natural Vegetation,Introduced & Semi Natural Vegetation
114413,4209,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
97730,4218,Forest & Woodland,Cool Temperate Forest & Woodland
97335,4234,Agricultural & Developed Vegetation,Row & Close Grain Crop Cultural Formation
113007,4241,Forest & Woodland,Cool Temperate Forest & Woodland
117652,4257,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
95853,4266,Forest & Woodland,Warm Temperate Forest & Woodland
104253,4273,Forest & Woodland,Cool Temperate Forest & Woodland
68095,4278,Shrub & Herb Vegetation,Mediterranean Scrub & Grassland
95452,4314,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
64852,4342,Agricultural & Developed Vegetation,Row & Close Grain Crop Cultural Formation
119038,4369,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
101511,4370,Forest & Woodland,Cool Temperate Forest & Woodland
104732,4385,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
55161,4390,Desert & Semi-Desert,Warm Desert & Semi-Desert Scrub & Grassland
116763,4401,Forest & Woodland,Cool Temperate Forest & Woodland
93550,4410,Forest & Woodland,Cool Temperate Forest & Woodland
114387,4433,Agricultural & Developed Vegetation,Row & Close Grain Crop Cultural Formation
119062,4449,Agricultural & Developed Vegetation,Row & Close Grain Crop Cultural Formation
58864,4454,Desert & Semi-Desert,Warm Desert & Semi-Desert Scrub & Grassland
103310,4465,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
96812,4474,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
100090,4490,Forest & Woodland,Cool Temperate Forest & Woodland
110228,4497,Forest & Woodland,Cool Temperate Forest & Woodland
130151,4513,Forest & Woodland,Cool Temperate Forest & Woodland
66262,4518,Desert & Semi-Desert,Warm Desert & Semi-Desert Scrub & Grassland
113962,4529,Developed & Other Human Use,Developed & Urban
72731,4534,Forest & Woodland,Cool Temperate Forest & Woodland
125970,4545,Forest & Woodland,Cool Temperate Forest & Woodland
95893,4570,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
123703,4577,Forest & Woodland,Cool Temperate Forest & Woodland
87047,4586,Forest & Woodland,Warm Temperate Forest & Woodland
58825,4598,Shrub & Herb Vegetation,Mediterranean Scrub & Grassland
68071,4618,0,0
120426,4625,Forest & Woodland,Cool Temperate Forest & Woodland
103811,4641,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
52846,4646,Desert & Semi-Desert,Warm Desert & Semi-Desert Scrub & Grassland
73189,4650,"Polar & High Montane Scrub, Grassland & Barrens",Temperate & Boreal Alpine Tundra
119535,4657,Shrub & Herb Vegetation,Temperate Grassland & Shrubland
57895,4662,Open Water,Open Water
95862,4666,Agricultural & Developed Vegetation,Row & Close Grain Crop Cultural Formation
93629,4682,Agricultural & Developed Vegetation,Row & Close Grain Crop Cultural Formation
114381,4689,Forest & Woodland,Cool Temperate Forest & Woodland
116287,4705,Agricultural & Developed Vegetation,Row & Close Grain Crop Cultural Formation
63948,4710,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
105612,4721,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
89858,4730,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
97323,4746,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
106051,4753,Forest & Woodland,Cool Temperate Forest & Woodland
126915,4769,Forest & Woodland,Cool Temperate Forest & Woodland
89834,4778,Forest & Woodland,Warm Temperate Forest & Woodland
114902,4785,Forest & Woodland,Cool Temperate Forest & Woodland
72712,4790,Shrub & Herb Vegetation,"Temperate to Polar Freshwater Marsh, Wet Meadow & Shrubland"
130137,4801,Open Water,Open Water
110741,4817,Recently Disturbed or Modified,Recently Disturbed or Modified
47288,4822,Desert & Semi-Desert,Warm Desert & Semi-Desert Scrub & Grassland
99133,4826,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
75942,4842,Developed & Other Human Use,Developed & Urban
60229,4854,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
92219,4874,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
57010,4902,Desert & Semi-Desert,Warm Desert & Semi-Desert Scrub & Grassland
80593,4906,Forest & Woodland,Cool Temperate Forest & Woodland
115811,4913,Developed & Other Human Use,Developed & Urban
55135,4918,Shrub & Herb Vegetation,Mediterranean Scrub & Grassland
94940,4922,Forest & Woodland,Cool Temperate Forest & Woodland
99191,4938,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
107456,4945,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
118586,4961,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
74569,4970,Shrub & Herb Vegetation,Mediterranean Scrub & Grassland
105167,4977,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
104201,5009,Forest & Woodland,Cool Temperate Forest & Woodland
99619,5018,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
93997,5034,Forest & Woodland,Cool Temperate Forest & Woodland
70401,5046,Agricultural & Developed Vegetation,Pasture & Hay Field Crop
117623,5057,Open Water,Open Water
113989,5073,Forest & Woodland,Cool Temperate Forest & Woodland
49594,5078,Open Water,Open Water
118097,5137,Developed & Other Human Use,Developed & Urban
